threshold,p.value,estimate,data_type,corpus
0.82,0.00,-0.312,target,English
0.83,0.00,-0.312,target,English
0.84,0.00,-0.312,target,English
0.85,0.00,-0.312,target,English
0.86,0.00,-0.312,target,English
0.87,0.00,-0.312,target,English
0.88,0.00,-0.312,target,English
0.89,0.00,-0.312,target,English
0.9,0.00,-0.311,target,English
0.91,0.00,-0.311,target,English
0.92,0.00,-0.311,target,English
0.93,0.00,-0.311,target,English
0.94,0.00,-0.311,target,English
0.95,0.00,-0.311,target,English
0.96,0.00,-0.311,target,English
0.97,0.00,-0.311,target,English
0.98,0.00,-0.311,target,English
0.99,0.00,-0.311,target,English
1,0.00,-0.311,target,English
0.01,0.22,-0.049,actual,English
0.02,0.00,-0.153,actual,English
0.03,0.00,-0.199,actual,English
0.04,0.00,-0.136,actual,English
0.05,0.00,-0.109,actual,English
0.06,0.00,-0.100,actual,English
0.07,0.01,-0.080,actual,English
0.08,0.00,-0.081,actual,English
0.09,0.00,-0.085,actual,English
0.1,0.00,-0.127,actual,English
0.11,0.00,-0.153,actual,English
0.12,0.00,-0.151,actual,English
0.13,0.00,-0.148,actual,English
0.14,0.00,-0.165,actual,English
0.15,0.00,-0.166,actual,English
0.16,0.00,-0.163,actual,English
0.17,0.00,-0.166,actual,English
0.18,0.00,-0.171,actual,English
0.19,0.00,-0.182,actual,English
0.2,0.00,-0.195,actual,English
0.21,0.00,-0.209,actual,English
0.22,0.00,-0.221,actual,English
0.23,0.00,-0.236,actual,English
0.24,0.00,-0.243,actual,English
0.25,0.00,-0.256,actual,English
0.26,0.00,-0.271,actual,English
0.27,0.00,-0.284,actual,English
0.28,0.00,-0.294,actual,English
0.29,0.00,-0.302,actual,English
0.3,0.00,-0.313,actual,English
0.31,0.00,-0.325,actual,English
0.32,0.00,-0.335,actual,English
0.33,0.00,-0.346,actual,English
0.34,0.00,-0.355,actual,English
0.35,0.00,-0.365,actual,English
0.36,0.00,-0.369,actual,English
0.37,0.00,-0.374,actual,English
0.38,0.00,-0.378,actual,English
0.39,0.00,-0.383,actual,English
0.4,0.00,-0.387,actual,English
0.41,0.00,-0.395,actual,English
0.42,0.00,-0.402,actual,English
0.43,0.00,-0.412,actual,English
0.44,0.00,-0.417,actual,English
0.45,0.00,-0.420,actual,English
0.46,0.00,-0.421,actual,English
0.47,0.00,-0.421,actual,English
0.48,0.00,-0.419,actual,English
0.49,0.00,-0.417,actual,English
0.5,0.00,-0.414,actual,English
0.51,0.00,-0.414,actual,English
0.52,0.00,-0.413,actual,English
0.53,0.00,-0.412,actual,English
0.54,0.00,-0.411,actual,English
0.55,0.00,-0.410,actual,English
0.56,0.00,-0.408,actual,English
0.57,0.00,-0.406,actual,English
0.58,0.00,-0.403,actual,English
0.59,0.00,-0.401,actual,English
0.6,0.00,-0.400,actual,English
0.61,0.00,-0.398,actual,English
0.62,0.00,-0.397,actual,English
0.63,0.00,-0.396,actual,English
0.64,0.00,-0.395,actual,English
0.65,0.00,-0.395,actual,English
0.66,0.00,-0.394,actual,English
0.67,0.00,-0.394,actual,English
0.68,0.00,-0.393,actual,English
0.69,0.00,-0.393,actual,English
0.7,0.00,-0.392,actual,English
0.71,0.00,-0.392,actual,English
0.72,0.00,-0.392,actual,English
0.73,0.00,-0.392,actual,English
0.74,0.00,-0.392,actual,English
0.75,0.00,-0.391,actual,English
0.76,0.00,-0.391,actual,English
0.77,0.00,-0.391,actual,English
0.78,0.00,-0.391,actual,English
0.79,0.00,-0.391,actual,English
0.8,0.00,-0.391,actual,English
0.81,0.00,-0.391,actual,English
0.82,0.00,-0.391,actual,English
0.83,0.00,-0.391,actual,English
0.84,0.00,-0.391,actual,English
0.85,0.00,-0.391,actual,English
0.86,0.00,-0.391,actual,English
0.87,0.00,-0.391,actual,English
0.88,0.00,-0.391,actual,English
0.89,0.00,-0.391,actual,English
0.9,0.00,-0.391,actual,English
0.91,0.00,-0.391,actual,English
0.92,0.00,-0.391,actual,English
0.93,0.00,-0.391,actual,English
0.94,0.00,-0.391,actual,English
0.95,0.00,-0.391,actual,English
0.96,0.00,-0.391,actual,English
0.97,0.00,-0.391,actual,English
0.98,0.00,-0.391,actual,English
0.99,0.00,-0.391,actual,English
1,0.00,-0.391,actual,English
