"downloaded","item_id","item_definition","category","8","9","11","12","13","14","15","16"
2023-12-01,153,"doigt","body_parts",0.09,0,0.14,0.15,0.17,0.08,0.5,0.4
2023-12-01,154,"doigt de pied","body_parts",0.06,0,0.07,0.12,0.07,0,0.5,0.2
2023-12-01,155,"figure","body_parts",0.06,0,0.04,0.08,0.17,0.08,0,0.4
2023-12-01,156,"genou","body_parts",0,0,0.04,0.08,0.06,0,0.5,0
2023-12-01,157,"jambe","body_parts",0.04,0,0.18,0.27,0.19,0.04,0.5,0.2
2023-12-01,158,"joue","body_parts",0.02,0,0.04,0.12,0.12,0.08,0.5,0.2
2023-12-01,159,"langue","body_parts",0.02,0,0.07,0,0.13,0,0.5,0.4
2023-12-01,160,"main","body_parts",0.11,0,0.29,0.35,0.34,0.42,0.5,0.6
2023-12-01,161,"nez","body_parts",0.13,0.25,0.29,0.23,0.31,0.42,0.5,0.4
2023-12-01,162,"nombril","body_parts",0.02,0,0.11,0.04,0.1,0.04,0.5,0.6
2023-12-01,163,"oreille","body_parts",0.04,0.25,0.25,0.19,0.24,0.17,0.5,0.4
2023-12-01,164,"pied","body_parts",0.11,0,0.36,0.42,0.42,0.33,0.5,0.8
2023-12-01,165,"pouce","body_parts",0.13,0,0.07,0.38,0.17,0.04,0.5,0.4
2023-12-01,166,"tête","body_parts",0.13,0,0.21,0.31,0.37,0.17,0.5,0.6
2023-12-01,167,"ventre","body_parts",0.06,0,0.21,0.15,0.2,0.21,0.5,0.2
2023-12-01,168,"yeux","body_parts",0.09,0,0.14,0.35,0.3,0.17,0.5,0.8
2023-12-01,169,"bébé","people",0.21,0.25,0.29,0.23,0.41,0.25,1,0.6
2023-12-01,170,"dame","people",0.02,0,0.04,0.19,0.16,0.04,0.5,0.4
2023-12-01,171,"enfant","people",0.04,0.25,0.11,0.04,0.08,0.08,0.5,0
2023-12-01,172,"fille","people",0.02,0.25,0.04,0.08,0.14,0.04,0.5,0.4
2023-12-01,173,"frère","people",0.13,0,0.11,0.27,0.16,0,0.5,0
2023-12-01,174,"garçon","people",0.02,0.25,0.04,0,0.07,0.04,0,0.6
2023-12-01,175,"gens","people",0.02,0,0,0,0.07,0.04,0.5,0.2
2023-12-01,176,"grand-mère","people",0.13,0.25,0.32,0.19,0.2,0.29,0.5,0.2
2023-12-01,177,"grand-père","people",0.09,0.25,0.25,0.19,0.22,0.29,0,0
2023-12-01,178,"maître/sse","people",0.02,0,0,0,0.02,0,0.5,0
2023-12-01,179,"maman","people",0.64,0.5,0.79,0.73,0.67,0.79,0.5,0.8
2023-12-01,180,"nom de l'enfant","people",0.43,0.5,0.54,0.46,0.51,0.54,0.5,0.4
2023-12-01,181,"nom de la nounou","people",0.11,0.25,0.29,0.27,0.23,0.29,0.5,0.4
2023-12-01,182,"nounou","people",0.04,0.25,0.18,0.15,0.15,0.17,0.5,0.2
2023-12-01,183,"oncle","people",0,0,0.04,0.04,0.05,0.04,0,0
2023-12-01,184,"papa","people",0.62,0.5,0.79,0.58,0.64,0.79,0.5,0.8
2023-12-01,185,"personne","people",0,0,0.04,0,0.07,0.04,0,0
2023-12-01,186,"sœur","people",0.13,0,0.04,0.19,0.16,0.04,0,0.4
2023-12-01,187,"tante","people",0.09,0,0.11,0.15,0.21,0.17,0.5,0.4
2023-12-01,188,"basket","clothing",0,0,0,0.08,0.05,0,0,0.4
2023-12-01,189,"bavoir/bavette","clothing",0.13,0,0.21,0.23,0.35,0.25,0.5,0.6
2023-12-01,190,"body","clothing",0.09,0.25,0.18,0.27,0.28,0.29,0.5,0.2
2023-12-01,191,"bottes","clothing",0.04,0,0,0,0.02,0,0,0.4
2023-12-01,192,"boutons","clothing",0.02,0,0.07,0.15,0.05,0,0.5,0
2023-12-01,193,"ceinture","clothing",0.02,0,0,0,0.03,0,0,0.2
2023-12-01,194,"chapeau","clothing",0,0,0.11,0.15,0.15,0.12,0.5,0.2
2023-12-01,195,"chaussettes","clothing",0.13,0.25,0.5,0.42,0.45,0.38,0.5,0.6
2023-12-01,196,"chausson/pantoufle","clothing",0.09,0,0.11,0.08,0.21,0.21,0.5,0.2
2023-12-01,197,"chaussure","clothing",0.09,0,0.39,0.35,0.5,0.46,0.5,0.8
2023-12-01,198,"chemise","clothing",0.02,0.25,0,0.19,0.12,0,0.5,0.2
2023-12-01,199,"collants","clothing",0.04,0,0.07,0.12,0.05,0.08,0.5,0
2023-12-01,200,"collier","clothing",0,0,0.04,0.12,0.06,0.08,0.5,0.2
2023-12-01,201,"combinaison de ski","clothing",0.04,0,0,0,0.06,0,0,0.2
2023-12-01,202,"couche","clothing",0.21,0.25,0.36,0.38,0.47,0.46,1,0.8
2023-12-01,203,"culotte/slip","clothing",0.02,0,0,0,0,0,0.5,0.4
2023-12-01,204,"écharpe","clothing",0.09,0,0.04,0.19,0.15,0.08,0.5,0.4
2023-12-01,205,"gants","clothing",0.02,0,0,0.04,0.01,0,0,0
2023-12-01,206,"grenouillère","clothing",0,0.25,0,0.08,0.05,0,0,0.2
2023-12-01,207,"jeans","clothing",0.04,0.25,0,0.12,0.07,0,0,0
2023-12-01,208,"manteau","clothing",0.04,0,0.25,0.23,0.31,0.33,1,0.4
2023-12-01,209,"moufles","clothing",0,0,0,0,0,0.04,0,0.2
2023-12-01,210,"pantalon","clothing",0.09,0.25,0.21,0.31,0.29,0.17,0.5,0.4
2023-12-01,211,"perles","clothing",0.02,0,0,0,0.02,0,0,0.2
2023-12-01,212,"pull","clothing",0.09,0,0.18,0.27,0.15,0.08,0.5,0.2
2023-12-01,213,"pyjama","clothing",0.09,0.25,0.21,0.15,0.35,0.33,1,0.6
2023-12-01,214,"robe","clothing",0.02,0,0,0.08,0.1,0,0.5,0.2
2023-12-01,215,"salopette","clothing",0.02,0,0,0.08,0.08,0,0.5,0
2023-12-01,216,"short","clothing",0.02,0.25,0,0.12,0.09,0,0,0.2
2023-12-01,217,"sweat","clothing",0,0,0,0,0.02,0,0,0
2023-12-01,218,"tee-shirt","clothing",0.02,0.25,0.14,0.08,0.12,0.08,0.5,0
2023-12-01,219,"veste","clothing",0,0,0,0.04,0.14,0.04,0.5,0.2
2023-12-01,220,"argent","household",0.02,0,0,0.08,0.05,0,0,0.2
2023-12-01,221,"aspirateur","household",0.06,0,0.18,0,0.21,0.17,0.5,0.4
2023-12-01,222,"assiette","household",0,0,0.11,0.12,0.16,0.04,0.5,0
2023-12-01,223,"balai","household",0,0,0,0,0.07,0.04,0.5,0
2023-12-01,224,"biberon","household",0.11,0,0,0.12,0.3,0.5,0,0.2
2023-12-01,225,"boîte","household",0.02,0,0.07,0.08,0.13,0.08,0.5,0.4
2023-12-01,226,"bol","household",0.02,0.25,0,0.08,0.13,0.04,0,0.2
2023-12-01,227,"bouteille","household",0.06,0,0.07,0.08,0.17,0.12,0.5,0
2023-12-01,228,"brosse","household",0.02,0.25,0.11,0.15,0.23,0.12,0.5,0
2023-12-01,229,"brosse à dent","household",0.06,0,0.07,0.15,0.31,0.12,0.5,0.2
2023-12-01,230,"ciseaux","household",0.02,0.25,0.04,0.08,0.09,0,0,0.2
2023-12-01,231,"clefs","household",0.11,0.25,0.07,0.12,0.23,0.17,0.5,0.4
2023-12-01,232,"couverture","household",0.11,0.25,0.07,0.12,0.12,0.08,0.5,0.2
2023-12-01,233,"cuillère","household",0.11,0.25,0.18,0.19,0.3,0.29,0.5,0
2023-12-01,234,"dent","household",0.04,0.25,0.11,0.35,0.17,0,0.5,0.4
2023-12-01,235,"feuille","household",0.06,0.25,0.07,0.15,0.09,0.04,0.5,0.2
2023-12-01,236,"fourchette","household",0.06,0,0.07,0.12,0.19,0.08,0.5,0.2
2023-12-01,237,"horloge","household",0,0,0,0,0,0,0,0.2
2023-12-01,238,"lampe","household",0.02,0,0.04,0.08,0.09,0.04,0.5,0.2
2023-12-01,239,"lumière","household",0.09,0,0.07,0.15,0.13,0.08,0.5,0.2
2023-12-01,240,"lunettes","household",0.06,0.25,0.11,0.23,0.29,0.12,0.5,0.6
2023-12-01,241,"marteau","household",0,0,0,0,0.02,0.04,0,0
2023-12-01,242,"médicaments","household",0.04,0,0.11,0.15,0.1,0.08,0,0.4
