threshold,p.value,estimate,data_type,corpus
0.67,0.61,-0.011,target,English
0.68,0.62,-0.011,target,English
0.69,0.62,-0.011,target,English
0.7,0.63,-0.011,target,English
0.71,0.64,-0.010,target,English
0.72,0.65,-0.010,target,English
0.73,0.64,-0.010,target,English
0.74,0.63,-0.011,target,English
0.75,0.64,-0.010,target,English
0.76,0.65,-0.010,target,English
0.77,0.65,-0.010,target,English
0.78,0.65,-0.010,target,English
0.79,0.65,-0.010,target,English
0.8,0.65,-0.010,target,English
0.81,0.65,-0.010,target,English
0.82,0.66,-0.010,target,English
0.83,0.66,-0.010,target,English
0.84,0.66,-0.010,target,English
0.85,0.66,-0.010,target,English
0.86,0.66,-0.010,target,English
0.87,0.66,-0.010,target,English
0.88,0.66,-0.010,target,English
0.89,0.66,-0.010,target,English
0.9,0.67,-0.010,target,English
0.91,0.67,-0.010,target,English
0.92,0.67,-0.010,target,English
0.93,0.67,-0.010,target,English
0.94,0.67,-0.010,target,English
0.95,0.67,-0.010,target,English
0.96,0.67,-0.009,target,English
0.97,0.67,-0.009,target,English
0.98,0.67,-0.010,target,English
0.99,0.67,-0.010,target,English
1,0.67,-0.010,target,English
0.01,0.45, 0.030,actual,English
0.02,0.94,-0.003,actual,English
0.03,0.65,-0.017,actual,English
0.04,0.27,-0.038,actual,English
0.05,0.18,-0.044,actual,English
0.06,0.14,-0.045,actual,English
0.07,0.54, 0.018,actual,English
0.08,0.54, 0.017,actual,English
0.09,0.94, 0.002,actual,English
0.1,0.69,-0.010,actual,English
0.11,0.82,-0.006,actual,English
0.12,0.62,-0.012,actual,English
0.13,0.47,-0.017,actual,English
0.14,0.54,-0.015,actual,English
0.15,0.64,-0.011,actual,English
0.16,0.62,-0.012,actual,English
0.17,0.92,-0.002,actual,English
0.18,0.97,-0.001,actual,English
0.19,0.97, 0.001,actual,English
0.2,0.77,-0.007,actual,English
0.21,0.97,-0.001,actual,English
0.22,0.85,-0.004,actual,English
